date,macd,macdsignal,macdhist,mom,sma20,sma50,sma100,sma200,rsi,stddev,close,symbol,volatility,rsi_value
2014-10-06,0.0,0.0,0.0,-0.3500000000000014,46.25,44.88,43.04,40.23,50.97,0.005539927237856193,45.8,MSFT,8.794361851656275,4
2014-10-07,0.0,0.0,0.0,-0.8299999999999983,46.19,44.92,43.1,40.28,45.02,0.00701882438579418,45.24,MSFT,11.142038292508243,4
2014-10-08,0.0,0.0,0.0,0.8800000000000026,46.19,44.98,43.17,40.33,57.07,0.013403510456560389,46.49,MSFT,21.277413217987558,3
2014-10-09,0.0,0.0,0.0,0.09000000000000341,46.13,45.03,43.23,40.38,48.54,0.016518920118372433,45.56,MSFT,26.222972736333066,4
2014-10-10,0.0,0.0,0.0,-2.049999999999997,45.99,45.05,43.28,40.42,36.97,0.022353547974735627,43.75,MSFT,35.48515731666121,5
2014-10-13,0.0,0.0,0.0,-2.4199999999999946,45.87,45.08,43.31,40.46,35.12,0.021934749492662872,43.38,MSFT,34.82033533685169,5
2014-10-14,0.0,0.0,0.0,-1.7800000000000011,45.72,45.09,43.35,40.49,35.87,0.022436894988833934,43.46,MSFT,35.61746659975556,5
2014-10-15,0.0,0.0,0.0,-3.539999999999999,45.55,45.1,43.39,40.52,33.25,0.013941355887751436,42.95,MSFT,22.13121637082185,5
2014-10-16,-1.0,0.0,0.0,-3.0900000000000034,45.36,45.1,43.41,40.56,30.95,0.013832403400331088,42.47,MSFT,21.958259658960166,5
2014-10-17,-1.0,0.0,0.0,-0.39000000000000057,45.16,45.11,43.45,40.59,39.31,0.012345059136906882,43.36,MSFT,19.597173837984773,5
2014-10-20,-1.0,0.0,0.0,0.4199999999999946,45.01,45.14,43.49,40.63,42.98,0.012553770540735068,43.8,MSFT,19.928492920172303,5
2014-10-21,-1.0,0.0,0.0,1.1400000000000006,44.93,45.18,43.53,40.68,49.03,0.014130361908632521,44.6,MSFT,22.431254127348986,4
2014-10-22,-1.0,0.0,0.0,1.1499999999999986,44.8,45.2,43.57,40.72,45.76,0.014005042206074673,44.1,MSFT,22.232315266942198,4
2014-10-23,0.0,0.0,0.0,2.270000000000003,44.75,45.22,43.62,40.77,50.32,0.011464689751406793,44.74,MSFT,18.19963076443998,4
2014-10-24,0.0,0.0,0.0,2.480000000000004,44.73,45.27,43.68,40.83,57.01,0.012193560138952847,45.84,MSFT,19.356676634507654,3
2014-10-27,0.0,0.0,0.0,1.8200000000000003,44.71,45.29,43.73,40.88,55.4,0.013823170392425926,45.62,MSFT,21.943602713298073,3
2014-10-28,0.0,0.0,0.0,1.6000000000000014,44.71,45.33,43.78,40.94,58.71,0.013184046209017572,46.2,MSFT,20.929024525586634,3
2014-10-29,0.0,0.0,0.0,2.229999999999997,44.75,45.35,43.84,41.0,59.43,0.010110853013812983,46.33,MSFT,16.05048157036624,3
2014-10-30,0.0,0.0,0.0,1.019999999999996,44.76,45.37,43.89,41.05,54.88,0.01298108397120116,45.76,MSFT,20.606831961507005,4
2014-10-31,0.0,0.0,0.0,0.8199999999999932,44.81,45.41,43.95,41.1,60.08,0.011535220129120064,46.66,MSFT,18.31159426802284,3
2014-11-03,0.0,0.0,0.0,1.5200000000000031,44.87,45.45,44.02,41.16,62.56,0.010893986158680018,47.14,MSFT,17.2936668972283,3
2014-11-04,0.0,0.0,0.0,1.0700000000000003,44.97,45.5,44.09,41.22,63.22,0.010504006272566294,47.27,MSFT,16.674593020243773,3
2014-11-05,1.0,0.0,0.0,1.230000000000004,45.03,45.56,44.16,41.28,64.73,0.010472187797258448,47.56,MSFT,16.624082756586688,3
2014-11-06,1.0,0.0,0.0,2.6300000000000026,45.17,45.63,44.23,41.35,68.69,0.006457998676192344,48.39,MSFT,10.25175507863357,3
2014-11-07,1.0,0.0,0.0,1.7100000000000009,45.4,45.71,44.3,41.41,68.49,0.006220091774839419,48.37,MSFT,9.874089580934083,3
2014-11-10,1.0,0.0,0.0,1.4399999999999977,45.66,45.78,44.38,41.48,69.49,0.006091579161551421,48.58,MSFT,9.670082131877049,3
2014-11-11,1.0,1.0,0.0,1.2899999999999991,45.92,45.85,44.45,41.55,69.26,0.006549362574070333,48.56,MSFT,10.396790770190368,3
2014-11-12,1.0,1.0,0.0,0.9099999999999966,46.19,45.93,44.52,41.61,68.19,0.0071289395050185955,48.47,MSFT,11.316840625141863,3
2014-11-13,1.0,1.0,0.0,0.9099999999999966,46.53,46.01,44.6,41.68,72.43,0.0070037706048131886,49.3,MSFT,11.11814115604808,2
2014-11-14,1.0,1.0,0.0,0.9000000000000057,46.83,46.09,44.68,41.74,72.06,0.007027415529309711,49.27,MSFT,11.1556763100401,2
